phase,bag_num,unit_or_mayberry_stake,desert_source,mayberry_treatment,cultivation_f_g_c,cultivation_shade,cultivation_water,cultivation_substrate,cultivation_inoc_status,sod_section_num,lab_replicate,property,date_sampled,cores,slake,resurrect_block,resurrect_sample_provenance,resurrect_desert_treatment,date_eps,eps_extractor,eps_timepoint,eps_timepoint_months,lb_eps,tb_eps,g_eps,total_eps,chla,old_cyano_qPCR,Note
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,252.200,40.500,375.050,667.750,7.837,,
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,61.960,23.770,94.280,180.010,5.362,,
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,61.370,17.820,137.050,216.240,2.936,,
greenhouse,,18,Mojave,NA,,S,1,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,50.960,15.250,79.910,146.120,11.329,,
greenhouse,,19,CP,NA,,S,1,,C,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,35.190,9.040,6.630,50.850,NA,,
greenhouse,,19,CP,NA,,S,1,,C,NA,,NA,,NA,NA,,,,7/15/19,ND,initial,0,86.460,32.000,29.160,147.620,0.091,,
greenhouse,,20,CP,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,94.150,-25.000,250.250,319.410,2.122,,
greenhouse,,20,CP,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,82.580,-27.360,207.340,262.550,1.566,,
greenhouse,,20,CP,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/13/19,ND,post,4,156.450,-0.900,430.790,586.340,1.938,,
greenhouse,,20,CP,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,91.040,19.070,64.670,174.780,NA,,
greenhouse,,20,CP,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,89.400,40.220,261.070,390.690,NA,,
greenhouse,,20,CP,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,99.310,52.010,94.720,246.040,NA,,
greenhouse,,20,CP,NA,,S,3,,I,NA,,NA,,NA,NA,,,,6/29/22,SDJ,initial,0,76.480,133.360,556.600,766.450,NA,,ND's chla value
greenhouse,,20,CP,NA,,S,3,,I,NA,,NA,,NA,NA,,,,7/20/22,SDJ,post,4,60.470,162.070,263.110,485.640,1.752,,average ND's chla value
greenhouse,,21,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,239.010,26.350,177.630,443.000,10.351,,
greenhouse,,21,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,238.060,34.330,222.560,494.950,9.578,,
greenhouse,,21,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,post,4,276.690,32.950,246.650,556.290,10.095,,
greenhouse,,21,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,82.300,20.500,190.120,292.920,13.081,,
greenhouse,,21,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,59.380,22.130,268.940,350.450,7.957,,
greenhouse,,21,Mojave,NA,,S,3,,I,NA,,NA,,NA,NA,,,,5/28/19,ND,initial,0,62.730,4.300,174.340,241.370,10.490,,
